tract,num_alpr_cameras,median_income,state_x,county_x,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state_y,county_y,white_pct,black_pct,asian_pct,hispanic_pct
000nan,19202,,,,,,,,,,,,,,
503803,1,129167.0,06,085,5053.0,351.0,110.0,2651.0,1775.0,06,085,0.06946368493963982,0.021769245992479716,0.5246388284187611,0.3512764694241045
503804,1,93703.0,06,085,5421.0,873.0,117.0,2277.0,1935.0,06,085,0.16104039845047038,0.02158273381294964,0.4200332042058661,0.35694521306032095
503902,2,94583.0,06,085,6385.0,539.0,16.0,1467.0,4247.0,06,085,0.08441660140955363,0.0025058731401722788,0.2297572435395458,0.6651527016444793
503903,3,111863.0,06,085,3386.0,466.0,14.0,1497.0,1386.0,06,085,0.13762551683402244,0.004134672179562906,0.4421145894861193,0.40933254577672773
504001,4,73627.0,06,085,5396.0,268.0,28.0,1092.0,3831.0,06,085,0.04966641957005189,0.005189028910303929,0.20237212750185324,0.7099703484062269
504002,2,87785.0,06,085,6609.0,203.0,24.0,2886.0,3395.0,06,085,0.030715690724769255,0.003631411711302769,0.436677258284158,0.5136934483280375
504101,1,119674.0,06,085,4626.0,542.0,19.0,950.0,2957.0,06,085,0.11716385646346736,0.004107220060527454,0.20536100302637267,0.6392131431041936
504307,3,133578.0,06,085,5864.0,569.0,42.0,3855.0,1195.0,06,085,0.09703274215552524,0.007162346521145975,0.6574010914051842,0.20378581173260574
504308,1,153214.0,06,085,4577.0,984.0,57.0,2233.0,896.0,06,085,0.21498798339523706,0.01245357220887044,0.4878741533755735,0.1957614157745248
504311,1,168816.0,06,085,7705.0,798.0,67.0,6209.0,387.0,06,085,0.1035691109669046,0.008695652173913044,0.8058403634003893,0.05022712524334848
504314,2,136321.0,06,085,4767.0,618.0,147.0,3278.0,552.0,06,085,0.12964128382630585,0.030837004405286344,0.6876442206838682,0.1157960981749528
504315,3,150298.0,06,085,6841.0,881.0,69.0,4705.0,1007.0,06,085,0.12878234176290015,0.010086244701067096,0.6877649466452274,0.1472007016518053
504316,2,162074.0,06,085,5387.0,367.0,12.0,3942.0,949.0,06,085,0.06812697234082049,0.0022275849266753297,0.7317616484128457,0.17616484128457396
504317,2,126034.0,06,085,3849.0,362.0,9.0,2782.0,638.0,06,085,0.09405040270200052,0.002338269680436477,0.7227851389971421,0.16575733956871916
504318,8,115109.0,06,085,6782.0,675.0,135.0,3879.0,1858.0,06,085,0.09952816278383958,0.019905632556767916,0.5719551754644647,0.27396048363314657
504319,6,145977.0,06,085,6755.0,491.0,279.0,4587.0,1231.0,06,085,0.07268689859363435,0.041302738712065135,0.6790525536639527,0.18223538119911176
